id,alcohol,fixed_acidity,residual_sugar,quality,density
501,13.8,14.0,10.1,high,0.9988
502,12.5,5.1,2.1,low,0.9922
503,8.3,10.5,13.5,high,0.9966
504,13.7,7.5,8.5,medium,0.9902
505,13.9,12.0,12.2,high,0.9905
506,13.7,6.1,10.0,low,1.0023
507,11.4,7.1,2.8,low,0.9923
508,9.6,15.6,6.2,high,0.9913
509,13.2,11.8,14.4,high,0.9957
510,10.8,7.5,6.7,high,0.9949
511,12.4,6.1,7.8,medium,0.9991
512,10.4,7.6,13.4,low,1.0021
513,9.1,5.4,1.1,low,1.0049
514,12.5,8.4,2.7,high,0.997
515,9.9,12.0,0.6,low,0.9932
516,13.7,8.3,4.4,low,1.0018
517,13.0,15.4,1.8,low,0.9928
518,12.0,10.4,10.4,medium,1.0001
519,11.4,5.9,4.5,medium,1.0025
520,10.9,9.5,1.1,low,0.999
521,13.9,7.0,9.2,high,0.9944
522,12.5,6.3,6.6,medium,1.0043
523,8.1,5.3,6.3,medium,1.0013
524,9.9,9.9,7.1,high,0.9998
525,8.9,9.6,0.8,low,0.9986
526,11.9,14.8,8.7,low,1.0034
527,11.2,6.4,1.3,high,0.9954
528,12.3,9.4,13.7,low,1.0002
529,8.0,10.2,3.7,high,0.9917
530,11.2,15.3,11.2,medium,1.0029
531,12.8,14.5,5.0,medium,0.9946
532,8.5,14.6,4.7,medium,1.0031
533,12.2,13.1,13.7,medium,1.0013
534,10.4,11.6,1.6,high,0.9925
535,11.2,15.6,6.8,high,1.0025
536,12.6,9.8,3.4,high,1.003
537,12.9,15.1,3.5,high,1.0032
538,11.9,14.2,9.1,high,0.9994
539,9.3,4.2,2.2,medium,1.0035
540,9.4,11.4,4.0,medium,0.9916
541,12.3,11.9,11.0,medium,1.0049
542,12.1,9.7,10.1,high,0.9911
543,8.3,10.4,9.9,medium,0.9939
544,11.6,6.6,2.8,high,0.9909
545,9.0,7.3,2.6,high,1.0023
546,10.8,12.4,1.0,high,1.0
547,12.3,10.7,9.2,low,1.0009
548,13.2,9.3,7.8,low,0.993
549,10.8,14.8,2.2,low,1.0031
550,10.0,11.3,13.6,medium,1.0012
551,11.9,12.9,14.8,medium,1.0017
552,8.3,7.8,10.2,low,0.9917
553,8.7,6.8,12.1,low,0.9958
554,11.1,9.9,9.8,low,1.0027
555,9.0,14.2,10.5,low,0.9944
556,10.3,9.0,8.8,medium,0.9977
557,12.2,6.9,11.2,medium,1.0036
558,11.8,15.6,4.6,high,1.0013
559,14.0,14.5,5.2,high,0.9907
560,10.3,4.6,10.6,high,0.9911
561,13.3,10.5,3.8,low,0.9962
562,9.8,14.4,5.0,medium,1.0002
563,10.4,8.5,13.7,medium,0.9994
564,11.5,15.3,5.9,high,0.9915
565,9.0,11.3,0.9,medium,0.9956
566,10.6,11.2,11.5,medium,0.9932
567,10.3,5.9,11.4,medium,1.0002
568,8.5,11.5,8.9,medium,0.9992
569,10.3,15.4,2.3,low,0.9967
570,10.5,9.1,1.1,low,0.9935
571,9.6,10.9,11.2,medium,0.9961
572,12.4,9.8,13.2,low,0.9979
573,13.1,7.5,6.8,medium,0.992
574,13.7,10.8,4.8,low,1.0048
575,13.6,5.3,11.9,low,0.9962
576,13.8,11.9,0.9,medium,1.0003
577,10.6,15.4,3.0,low,0.9958
578,10.7,4.3,7.1,medium,0.995
579,10.7,9.4,4.5,medium,1.0033
580,10.4,14.2,11.4,medium,0.9947
581,12.9,4.8,7.3,medium,0.9909
582,12.1,10.1,2.1,medium,1.0009
583,9.3,9.7,12.7,medium,0.9941
584,11.5,15.8,3.3,high,0.9952
585,9.6,8.5,0.7,high,0.9933
586,8.1,7.5,1.2,low,1.004
587,13.9,5.9,7.6,medium,0.9945
588,10.7,7.3,9.9,medium,0.9981
589,12.8,15.3,0.8,high,0.9947
590,8.5,7.1,3.2,medium,1.0019
591,13.2,15.5,3.7,low,0.9999
592,8.6,9.0,6.2,high,1.0034
593,12.0,11.1,3.2,low,1.0004
594,13.0,14.2,10.7,medium,0.9995
595,10.6,14.5,8.1,medium,0.9937
596,13.4,15.2,4.3,high,1.0022
597,9.9,6.3,7.1,medium,1.0048
598,12.4,6.3,0.9,low,1.0047
599,12.0,15.1,1.5,low,0.9989
600,8.9,10.8,4.1,high,1.0014
601,13.7,11.5,10.7,low,0.9934
602,9.4,11.7,12.1,high,0.9956
603,12.9,15.2,2.9,medium,1.0006
604,12.0,12.0,10.3,low,0.9953
605,12.5,6.2,7.0,medium,1.0043
606,10.1,15.1,12.4,medium,0.9974
607,8.1,14.4,11.7,low,0.9926
608,8.4,15.2,9.4,medium,0.9936
609,8.5,7.6,6.6,medium,1.0048
610,9.7,9.9,12.9,low,0.9902
611,8.3,9.3,9.1,medium,0.9934
612,12.7,14.6,14.7,medium,0.9971
613,9.2,5.2,9.5,medium,1.001
614,9.3,4.7,5.7,low,1.0013
615,13.7,13.7,3.6,high,1.0046
616,9.2,10.2,4.7,medium,1.0005
617,8.2,5.5,14.7,low,0.9945
618,9.4,14.6,3.2,medium,0.9934
619,9.5,15.6,13.7,high,0.9942
620,9.7,5.8,2.1,high,0.9962
621,11.0,10.0,6.2,medium,1.0043
622,12.1,12.0,12.2,medium,0.9916
623,13.3,11.9,3.1,medium,1.0008
624,13.0,11.3,9.4,high,1.0008
625,8.1,14.7,5.2,high,0.9942
626,8.1,11.5,4.7,high,1.0035
627,10.5,7.7,3.7,medium,0.9937
628,10.0,8.3,11.2,low,0.9975
629,10.4,10.6,5.3,medium,0.9959
630,13.4,15.5,8.5,low,0.9912
631,11.7,5.4,1.4,medium,0.9921
632,10.3,5.6,2.6,high,1.0013
633,11.8,15.3,13.1,low,1.0006
634,10.4,7.8,8.5,medium,1.0031
635,13.3,16.0,14.1,high,0.9948
636,13.4,5.8,2.3,high,0.9954
637,13.7,12.9,12.9,low,1.0045
638,13.9,7.5,4.1,medium,0.9967
639,11.7,7.9,3.1,high,0.9922
640,11.8,7.8,11.9,medium,0.996
641,11.4,15.4,1.7,high,0.999
642,11.6,13.8,7.5,high,1.0012
643,12.2,11.4,14.5,medium,0.9948
644,12.8,15.8,2.9,high,0.9979
645,9.9,12.5,12.6,medium,0.9988
646,13.2,11.8,11.1,high,0.9986
647,13.8,9.2,5.8,high,0.9986
648,8.1,12.7,12.8,high,0.998
649,8.9,13.7,3.6,medium,0.9931
650,12.1,7.8,4.7,medium,0.9986
651,10.3,14.4,13.6,low,0.9999
652,8.8,10.1,1.2,low,1.0036
653,11.4,14.2,7.9,low,0.999
654,9.5,15.9,6.1,low,0.9902
655,8.9,9.4,4.7,high,0.9949
656,9.5,6.7,13.6,high,0.9923
657,12.9,7.7,7.9,high,0.9938
658,12.6,6.9,7.8,high,0.9925
659,13.4,12.5,7.6,high,0.9938
660,9.5,15.6,7.9,high,0.9977
661,8.4,10.9,5.3,low,0.9963
662,9.1,12.7,5.6,medium,0.9956
663,13.4,15.2,6.3,low,1.0022
664,13.8,15.6,8.6,low,1.0002
665,9.9,11.4,13.1,low,0.9951
666,13.5,15.6,14.7,low,0.9949
667,8.5,15.6,8.5,high,0.9982
668,9.8,10.4,3.4,medium,0.9938
669,10.3,11.8,3.5,low,0.9914
670,10.6,9.1,2.5,low,0.9971
671,10.5,11.6,5.5,high,0.9981
672,11.5,14.4,13.5,low,0.9932
673,12.1,14.5,12.7,low,0.9928
674,9.5,11.5,7.9,low,1.0018
675,11.2,11.0,3.0,high,0.9949
676,13.0,5.3,5.5,low,0.9952
677,12.5,11.2,2.1,high,1.0033
678,12.5,11.0,6.5,low,0.9938
679,13.7,6.5,5.7,medium,0.9986
680,8.2,15.4,6.4,medium,0.9925
681,12.4,5.1,11.7,high,1.0031
682,13.8,15.5,14.6,medium,0.9936
683,8.8,13.9,3.7,low,0.9918
684,13.3,13.9,7.5,low,0.9981
685,10.7,6.2,14.2,high,0.9938
686,11.9,5.7,6.1,low,1.0046
687,9.5,6.7,13.1,low,0.9991
688,10.5,7.3,4.4,low,1.004
689,9.4,13.4,12.0,medium,0.9906
690,11.2,5.3,13.0,high,1.0005
691,12.0,8.9,3.4,medium,0.9914
692,12.1,10.2,8.5,high,0.991
693,10.7,5.3,9.3,low,0.9945
694,14.0,13.0,11.8,medium,1.0032
695,10.4,9.9,7.1,medium,0.9909
696,13.9,14.7,6.1,medium,0.9996
697,8.3,11.1,6.7,high,0.9902
698,8.2,5.5,8.6,high,0.997
699,11.9,15.4,6.7,medium,0.9973
700,10.8,6.5,5.8,low,0.9941
701,13.1,15.7,11.9,medium,1.0024
702,10.0,12.0,8.0,high,0.9951
703,13.0,14.4,8.6,medium,0.9936
704,9.1,14.4,10.7,high,1.0015
705,12.1,15.2,9.2,medium,0.9993
706,9.0,6.7,3.9,high,0.9995
707,10.0,6.7,13.6,medium,0.9906
708,11.2,4.5,7.0,high,1.0028
709,10.7,9.4,6.4,low,0.9991
710,12.8,13.1,2.0,high,1.001
711,8.7,5.3,12.4,high,0.9915
712,12.5,4.2,4.8,high,1.0008
713,13.2,4.2,12.3,high,0.9958
714,10.7,8.3,12.2,low,1.0044
715,13.4,4.4,10.2,high,1.0014
716,11.4,10.8,4.1,medium,1.0049
717,10.5,15.6,1.3,high,0.9998
718,13.8,13.8,12.1,low,0.9985
719,12.2,11.6,8.6,high,1.0013
720,13.2,13.4,14.6,low,0.9961
721,10.7,8.7,12.2,medium,1.0003
722,9.3,11.7,9.9,medium,1.004
723,12.2,7.7,10.9,high,0.9991
724,11.9,13.5,5.2,medium,0.9989
725,13.2,7.0,4.7,high,0.9932
726,9.7,9.6,5.4,medium,0.9977
727,8.0,14.6,3.3,high,0.9953
728,9.4,4.7,1.9,medium,1.0043
729,13.6,9.8,12.2,high,0.9927
730,12.3,5.2,11.2,low,0.9981
731,13.8,11.6,2.2,high,0.9907
732,11.5,6.8,4.6,high,0.9957
733,12.8,11.1,4.0,medium,0.9958
734,11.7,7.6,1.7,high,1.0036
735,10.7,9.8,13.6,medium,0.9948
736,11.7,4.8,1.1,medium,0.9924
737,13.5,7.8,14.0,low,1.0022
738,9.8,4.6,7.0,low,0.9941
739,9.3,15.6,1.6,low,1.0034
740,11.4,10.2,7.5,medium,1.0019
741,11.1,12.1,5.1,high,0.9987
742,9.6,14.8,12.6,low,0.9926
743,10.9,16.0,7.4,medium,0.9997
744,10.0,5.7,12.5,medium,0.9927
745,10.3,4.3,6.1,low,0.9981
746,12.0,13.6,0.7,low,0.9926
747,11.3,13.5,14.9,medium,0.9994
748,13.9,16.0,13.2,medium,1.0035
749,9.8,4.7,8.1,medium,1.0049
750,9.9,5.1,11.5,high,0.9954
751,12.5,6.2,8.6,low,0.9995
752,12.0,11.0,6.9,medium,0.994
753,13.0,6.2,10.4,medium,0.9965
754,9.9,5.8,14.0,low,1.0038
755,13.0,15.3,14.2,low,1.0025
756,8.4,7.8,8.7,medium,0.992
757,9.7,12.2,14.6,low,0.9973
758,12.9,4.1,4.7,medium,1.0022
759,10.2,12.7,11.6,low,1.0002
760,8.5,14.3,11.2,low,0.9967
761,10.6,13.6,8.5,high,0.9941
762,10.5,8.7,9.8,low,0.9934
763,9.2,5.2,9.6,high,0.9956
764,13.5,6.8,7.4,low,0.9954
765,13.1,15.6,12.4,high,0.9908
766,10.5,10.8,4.3,high,1.0027
767,13.3,6.0,13.1,low,1.001
768,12.4,8.0,11.9,medium,0.9904
769,10.4,12.9,7.2,high,1.0023
770,11.0,5.4,9.3,low,0.9924
771,10.8,10.9,13.1,low,1.0019
772,8.5,12.7,10.3,medium,1.0015
773,8.7,7.6,6.2,low,1.0013
774,11.6,8.8,0.8,high,1.0032
775,11.6,13.2,14.3,high,0.9993
776,8.9,10.2,6.4,high,1.0007
777,12.9,8.2,13.1,high,1.0019
778,12.2,11.6,10.6,high,0.996
779,9.9,9.1,4.0,medium,0.9916
780,13.2,10.4,8.9,medium,0.995
781,9.2,10.1,4.3,medium,1.0023
782,10.2,14.4,8.5,low,0.9954
783,12.8,11.5,14.8,low,0.9953
784,13.2,5.2,10.4,low,0.9935
785,12.4,5.3,8.9,low,0.9955
786,9.5,8.5,11.4,high,1.0017
787,12.9,12.4,7.0,medium,0.9991
788,10.6,7.2,10.2,high,0.9984
789,9.8,11.7,9.5,high,0.9943
790,11.6,14.7,4.8,high,1.001
791,13.7,15.6,7.4,medium,0.9972
792,11.5,4.2,5.6,low,0.9969
793,11.7,13.4,5.0,medium,1.0031
794,11.3,4.3,14.6,medium,1.0025
795,9.4,15.1,13.8,high,0.9951
796,8.4,7.4,12.8,high,1.0038
797,12.7,10.7,10.3,medium,0.9934
798,8.5,5.4,14.5,medium,0.9992
799,8.5,12.0,4.0,high,0.9981
800,11.9,14.5,13.7,low,1.0023
801,10.7,15.1,2.5,medium,1.0028
802,9.7,4.7,13.7,low,1.0043
803,8.7,9.9,13.6,medium,0.9902
804,12.0,4.8,6.5,high,0.9974
805,9.7,12.1,13.9,medium,0.9908
806,12.0,8.9,4.4,low,1.001
807,9.1,14.3,0.6,medium,1.0012
808,13.5,13.4,2.2,medium,0.9918
809,13.1,10.3,14.6,high,0.9974
810,13.2,5.7,6.3,medium,0.9965
811,13.0,13.0,10.1,high,1.0043
812,10.5,5.9,11.3,low,0.9993
813,8.3,13.3,11.8,medium,0.9947
814,13.4,4.8,5.6,low,1.0031
815,9.4,5.3,4.3,high,1.0025
816,10.0,5.1,10.9,high,0.9976
817,10.0,5.3,4.3,low,1.0029
818,8.8,10.7,11.1,medium,0.9917
819,10.8,13.1,6.6,medium,0.9953
820,10.4,14.6,7.4,high,0.9968
821,11.7,9.3,13.5,high,1.0043
822,13.3,10.7,14.8,high,1.004
823,9.5,12.6,2.6,medium,0.9903
824,12.2,13.1,8.3,medium,0.9902
825,10.2,6.7,10.4,medium,0.9948
826,11.1,11.7,13.1,high,0.9987
827,11.6,15.6,3.5,low,0.9985
828,13.2,5.6,5.5,medium,0.9988
829,8.1,7.1,7.5,medium,0.9959
830,9.3,7.0,8.6,high,1.0021
831,9.7,10.9,5.9,low,0.9996
832,9.2,14.6,7.8,medium,1.002
833,8.4,4.9,14.0,medium,1.0005
834,9.7,14.2,1.1,medium,0.9944
835,9.1,13.4,13.9,medium,1.0034
836,8.4,8.6,5.9,high,1.0047
837,11.5,11.4,10.0,medium,0.9919
838,11.4,8.7,7.0,high,1.0038
839,10.9,4.0,13.5,high,0.9928
840,11.0,9.3,4.5,high,1.0022
841,8.2,9.6,10.1,medium,0.9953
842,11.1,11.4,6.4,medium,1.0044
843,11.0,7.1,4.6,medium,1.0038
844,11.2,9.1,4.3,medium,0.9972
845,13.2,4.4,2.8,high,0.9905
846,13.4,15.2,2.3,low,1.0008
847,8.9,12.5,6.5,high,1.0034
848,9.8,9.6,12.1,high,0.9984
849,9.9,6.7,12.1,low,0.9927
850,11.5,15.7,1.7,medium,0.9989
851,8.2,5.7,6.9,high,0.9917
852,12.5,9.7,8.1,high,1.0017
853,13.1,11.8,12.1,high,0.9921
854,8.3,9.2,4.4,low,0.999
855,9.8,11.8,7.9,high,0.9965
856,12.4,10.4,3.1,high,0.9985
857,9.2,13.8,12.7,low,1.0024
858,8.9,5.3,13.8,low,0.9904
859,13.2,7.8,4.2,high,1.0009
860,9.0,14.7,12.6,high,1.0045
861,10.2,5.4,11.3,high,1.0001
862,9.5,8.8,11.9,medium,0.9945
863,9.0,12.0,1.8,low,0.9949
864,8.2,14.3,10.1,medium,0.994
865,12.4,12.1,9.6,medium,1.0042
866,9.9,5.8,6.3,low,1.0005
867,12.1,12.4,9.4,low,0.9997
868,9.5,10.4,4.0,medium,0.9923
869,8.8,7.0,12.6,medium,0.994
870,10.5,4.1,7.8,medium,1.0012
871,13.6,7.2,12.8,low,0.9916
872,9.7,6.3,5.5,medium,0.9969
873,13.9,13.8,14.7,medium,0.9966
874,10.6,7.5,3.4,low,0.9955
875,11.5,15.2,3.7,low,1.0035
876,11.0,13.1,2.8,high,1.0047
877,9.2,11.0,4.2,medium,0.995
878,9.8,14.4,12.7,high,1.0024
879,10.8,12.7,8.4,medium,0.9988
880,13.7,9.4,8.6,high,1.0031
881,11.3,13.4,11.0,high,0.9993
882,9.5,9.7,1.3,low,0.9978
883,10.7,7.1,0.5,medium,0.995
884,8.1,13.8,10.7,high,1.0035
885,11.8,5.8,6.8,low,0.997
886,10.2,15.6,11.4,high,1.0024
887,13.2,8.0,2.0,medium,0.9977
888,8.1,4.8,12.8,low,0.9981
889,9.8,13.0,3.6,high,1.0008
890,11.4,7.1,8.3,medium,0.9925
891,12.5,15.7,2.7,high,0.9941
892,12.1,4.1,12.2,medium,0.9914
893,13.4,9.1,5.9,low,1.0045
894,12.7,11.5,0.9,medium,0.9945
895,10.3,8.9,9.1,low,0.9963
896,12.0,5.1,14.9,medium,0.9992
897,9.6,13.8,7.8,low,0.9934
898,8.2,15.9,5.7,high,0.9905
899,10.8,13.1,7.4,medium,0.9906
900,11.0,11.7,3.4,low,0.9985
901,8.9,6.7,4.0,low,0.9926
902,8.2,9.6,14.4,low,0.994
903,9.4,14.3,12.5,low,1.0014
904,9.4,13.4,1.0,medium,0.9927
905,11.9,13.9,13.6,high,1.0028
906,13.6,15.8,8.6,low,0.9987
907,12.1,13.2,6.0,low,1.0038
908,12.9,6.6,2.2,medium,1.0033
909,9.5,12.0,0.9,high,0.9978
910,8.3,10.6,8.7,high,0.9934
911,13.1,9.3,1.8,high,0.9903
912,11.6,13.3,6.7,high,0.9932
913,11.2,10.1,2.9,low,0.9987
914,10.1,11.3,10.0,high,0.9984
915,13.6,11.8,7.9,high,1.0001
916,12.5,5.7,7.1,high,0.9942
917,12.7,4.5,4.5,low,1.0007
918,10.2,14.3,3.7,low,0.9974
919,9.9,9.6,1.3,medium,0.9955
920,12.6,14.2,1.7,low,0.9963
921,9.9,7.4,12.1,low,0.9952
922,10.1,10.8,14.4,low,0.9931
923,8.8,9.4,8.0,high,0.9939
924,10.4,6.9,5.6,high,0.9988
925,9.2,4.4,13.3,medium,0.9993
926,10.9,6.3,4.3,high,0.9931
927,13.6,8.6,8.3,high,1.0041
928,9.8,10.5,4.2,medium,1.0025
929,11.1,14.1,10.8,low,0.994
930,11.5,5.0,2.5,high,1.0021
931,12.5,10.9,1.6,medium,0.9967
932,8.2,10.3,9.4,low,0.9998
933,8.8,13.5,6.1,low,0.9939
934,10.8,11.8,13.3,medium,0.9945
935,9.8,7.0,7.3,medium,1.0045
936,13.3,8.2,12.8,high,0.9982
937,13.8,7.0,13.1,low,0.9991
938,13.6,12.8,10.3,low,0.99
939,8.7,10.8,13.1,high,0.9936
940,8.5,14.3,1.0,medium,0.9943
941,11.8,5.1,12.6,low,0.994
942,11.1,7.0,0.5,high,1.0018
943,13.6,5.0,8.5,high,0.9946
944,8.9,7.7,9.9,high,1.0046
945,13.0,5.7,3.5,high,0.9997
946,12.4,8.2,8.3,medium,0.9974
947,9.2,11.3,10.4,high,0.9969
948,9.3,13.8,5.5,medium,1.0014
949,13.1,14.9,4.6,high,0.9983
950,8.7,15.8,13.8,low,1.0029
951,10.1,9.6,0.9,high,1.0036
952,12.8,6.1,4.1,medium,0.9901
953,8.6,4.2,12.4,low,0.9981
954,13.6,9.4,2.3,medium,1.0035
955,8.9,4.1,9.3,low,0.9964
956,9.9,7.7,8.2,medium,1.0026
957,10.2,7.7,1.7,high,0.9937
958,13.1,12.2,5.7,medium,1.0045
959,10.5,5.8,12.5,medium,0.9932
960,13.5,9.1,9.0,low,0.9918
961,13.1,9.0,8.8,high,1.0015
962,8.7,15.1,6.7,low,0.9998
963,13.0,7.6,14.6,low,0.9972
964,8.4,6.7,12.1,low,0.9946
965,10.9,5.0,6.7,high,0.9977
966,13.2,4.5,9.0,high,0.9908
967,12.3,5.8,10.8,low,0.9989
968,11.9,15.5,8.9,medium,1.0032
969,13.8,13.8,3.4,low,0.9961
970,8.6,11.7,5.5,medium,0.9983
971,10.6,14.8,12.1,high,0.9933
972,12.2,13.9,4.2,high,0.9939
973,9.2,9.1,11.5,high,0.9959
974,8.0,14.8,6.3,low,1.004
975,11.2,13.9,3.6,medium,0.9984
976,9.2,9.2,11.6,low,1.005
977,11.1,10.6,1.2,medium,1.0007
978,12.8,13.0,2.7,low,0.9945
979,12.5,11.1,6.9,high,0.9913
980,10.3,14.2,2.1,high,0.9978
981,10.5,7.9,6.0,low,0.9998
982,10.9,9.2,6.0,high,0.992
983,9.5,11.0,6.5,medium,0.9982
984,9.6,14.2,9.2,medium,1.0036
985,13.9,12.2,2.8,low,0.9967
986,9.2,13.8,8.6,medium,0.9923
987,11.0,11.8,5.1,high,0.996
988,8.6,12.0,11.8,high,0.9909
989,10.4,4.6,11.6,high,1.0007
990,12.2,15.6,7.1,medium,0.993
991,10.8,4.9,6.4,high,0.9919
992,9.9,13.2,8.5,high,0.9942
993,9.5,5.9,12.1,high,0.9991
994,12.8,5.0,1.0,medium,0.9903
995,13.1,13.0,4.3,low,1.0035
996,9.5,6.4,5.3,low,1.004
997,13.8,4.5,9.0,medium,0.9931
998,8.1,5.3,12.2,low,0.9955
999,10.1,7.6,14.3,high,0.9924
